Date,Industrial
Jan/01/1990,2425409.4516129
Feb/01/1990,2664519.28571429
Mar/01/1990,2478773.4516129
Apr/01/1990,2541271.76666667
May/01/1990,2540606.64516129
Jun/01/1990,2689211.33333333
Jul/01/1990,2616651.19354839
Aug/01/1990,2711133.22580645
Sep/01/1990,2720373.53333333
Oct/01/1990,2643847.87096774
Nov/01/1990,2588869.9
Dec/01/1990,2477880.25806452
Jan/01/1991,2460070.12903226
Feb/01/1991,2638132.03571429
Mar/01/1991,2415231.61290323
Apr/01/1991,2529616.13333333
May/01/1991,2594080.06451613
Jun/01/1991,2604514.7978049
Jul/01/1991,2637917.58064516
Aug/01/1991,2713912.93548387
Sep/01/1991,2737968.46666667
Oct/01/1991,2625957.61290323
Nov/01/1991,2611779.06666667
Dec/01/1991,2475705.16129032
Jan/01/1992,2495264.67741935
Feb/01/1992,2651533.86206897
Mar/01/1992,2558404.35483871
Apr/01/1992,2607214.73333333
May/01/1992,NaN
Jun/01/1992,2783209.43333333
Jul/01/1992,2803034.41728148
Aug/01/1992,2764637.25806452
Sep/01/1992,2795905.63333333
Oct/01/1992,2687501.61290323
Nov/01/1992,2703231.16666667
Dec/01/1992,2510622.80645161
Jan/01/1993,2493721.64516129
Feb/01/1993,2732252.14285714
Mar/01/1993,2562535.19354839
Apr/01/1993,2630508.43333333
May/01/1993,2629954.5483871
Jun/01/1993,2809031.6
Jul/01/1993,2735728.29032258
Aug/01/1993,2781425.70967742
Sep/01/1993,2775247.66666667
Oct/01/1993,2671663.90322581
Nov/01/1993,2703433
Dec/01/1993,2612537.67741935
Jan/01/1994,2596883.93548387
Feb/01/1994,2784372.5
Mar/01/1994,2603113.25806452
Apr/01/1994,2692348.43333333
May/01/1994,2697564.64516129
Jun/01/1994,2895336.43333333
Jul/01/1994,2801347.16129032
Aug/01/1994,2895171.74193548
Sep/01/1994,2919941.46666667
Oct/01/1994,2784934
Nov/01/1994,2796609.2
Dec/01/1994,2682009.19354839
Jan/01/1995,2768436.85407337
Feb/01/1995,2831573.03571429
Mar/01/1995,2675179.22580645
Apr/01/1995,2731488.23333333
May/01/1995,2746652.74193548
Jun/01/1995,2920627.1
Jul/01/1995,2794345.77419355
Aug/01/1995,2907868.77419355
Sep/01/1995,NaN
Oct/01/1995,2771295.4516129
Nov/01/1995,2757473.8
Dec/01/1995,NaN
Jan/01/1996,2675077.67741935
Feb/01/1996,2845247.10344828
Mar/01/1996,2737563.06451613
Apr/01/1996,2738653.9
May/01/1996,2794768.22580645
Jun/01/1996,2950770.36666667
Jul/01/1996,2858892.03225806
Aug/01/1996,2929454.90322581
Sep/01/1996,2946124.1
Oct/01/1996,2858327.77419355
Nov/01/1996,2838004.2
Dec/01/1996,2723743.64516129
Jan/01/1997,2708953.06451613
Feb/01/1997,2919845.10714286
Mar/01/1997,2685376.96774194
Apr/01/1997,2811941.86666667
May/01/1997,2792938.38709677
Jun/01/1997,2978705.13333333
Jul/01/1997,2860011.70967742
Aug/01/1997,2948937.22580645
Sep/01/1997,3007118.83333333
Oct/01/1997,2871642.64516129
Nov/01/1997,2844114
Dec/01/1997,2718747.25806452
Jan/01/1998,2673966.70967742
Feb/01/1998,2962002.89285714
Mar/01/1998,2738465.80645161
Apr/01/1998,2820908.96666667
May/01/1998,2894365.80645161
Jun/01/1998,3005137.63333333
Jul/01/1998,2874384.16129032
Aug/01/1998,3021481.87096774
Sep/01/1998,2992329.16666667
Oct/01/1998,2848323.87096774
Nov/01/1998,2918425.96666667
Dec/01/1998,2825236.83870968
Jan/01/1999,2692806.06451613
Feb/01/1999,2913544.28571429
Mar/01/1999,2769787.58064516
Apr/01/1999,2859373.2
May/01/1999,2893415.58064516
Jun/01/1999,3033080.6
Jul/01/1999,2989733.06451613
Aug/01/1999,2992380.32258065
Sep/01/1999,3022345.9
Oct/01/1999,2898266.70967742
Nov/01/1999,NaN
Dec/01/1999,2784926.5483871
Jan/01/2000,2776231.4516129
Feb/01/2000,2920242.62068966
Mar/01/2000,2853915.03225806
Apr/01/2000,2882420.73333333
May/01/2000,2918698.19354839
Jun/01/2000,2879827.1538295
Jul/01/2000,2897593.61290323
Aug/01/2000,3039785.87096774
Sep/01/2000,3018656.4
Oct/01/2000,2883213.16129032
Nov/01/2000,2923545.23333333
Dec/01/2000,2718893.32258065
Jan/01/2001,NaN
Feb/01/2001,2937436.78571429
Mar/01/2001,2694242.51612903
Apr/01/2001,2741769.2
May/01/2001,2777309.12903226
Jun/01/2001,2842295.43333333
Jul/01/2001,2683082.61290323
Aug/01/2001,2799917.29032258
Sep/01/2001,2754383.16666667
Oct/01/2001,2682088.51612903
Nov/01/2001,2663789.43333333
Dec/01/2001,2518734.22580645
Jan/01/2002,2523880.09677419
Feb/01/2002,2787836.78571429
Mar/01/2002,2595523.22580645
Apr/01/2002,2691681.86666667
May/01/2002,2724512.83870968
Jun/01/2002,2812891.53333333
Jul/01/2002,2842676.38709677
Aug/01/2002,2847245.12903226
Sep/01/2002,2811542.26666667
Oct/01/2002,2709170.5483871
Nov/01/2002,2656852.86666667
Dec/01/2002,2563093.64516129
Jan/01/2003,2607359.03225806
Feb/01/2003,2839877.46428571
Mar/01/2003,2637365.64516129
Apr/01/2003,2768587.36666667
May/01/2003,2729650.5483871
Jun/01/2003,2873661.16666667
Jul/01/2003,2830074.29032258
Aug/01/2003,2920523.93548387
Sep/01/2003,2856066.33333333
Oct/01/2003,2805861.67741935
Nov/01/2003,2772127.66666667
Dec/01/2003,2654436.12903226
Jan/01/2004,2607194.77419355
Feb/01/2004,2747156
Mar/01/2004,2687984.74193548
Apr/01/2004,2778975.46666667
May/01/2004,2806075.90322581
Jun/01/2004,2891075
Jul/01/2004,2854175.58064516
Aug/01/2004,2885170.32258065
Sep/01/2004,2867298.5
Oct/01/2004,2753090.03225806
Nov/01/2004,2806351.76666667
Dec/01/2004,NaN
Jan/01/2005,2652567.35483871
Feb/01/2005,2818386
Mar/01/2005,2682599.5483871
Apr/01/2005,2745553.36666667
May/01/2005,2768643.93548387
Jun/01/2005,2933600.26666667
Jul/01/2005,2850276.09677419
Aug/01/2005,2919833.90322581
Sep/01/2005,2907854.53333333
Oct/01/2005,2768927.32258065
Nov/01/2005,2783088.26666667
Dec/01/2005,2675923.67741935
Jan/01/2006,2640795.09677419
Feb/01/2006,2864542.32142857
Mar/01/2006,2685935.74193548
Apr/01/2006,2723212.53333333
May/01/2006,2779965.4516129
Jun/01/2006,2887661.56666667
Jul/01/2006,2867095.16129032
Aug/01/2006,2912412.70967742
Sep/01/2006,2878802.26666667
Oct/01/2006,2752822.06451613
Nov/01/2006,2688436.06666667
Dec/01/2006,2578619.29032258
Jan/01/2007,NaN
Feb/01/2007,2799706.89285714
Mar/01/2007,2663950.64516129
Apr/01/2007,2778712.8
May/01/2007,2814228.03225806
Jun/01/2007,2919068.86666667
Jul/01/2007,2871526.90322581
Aug/01/2007,2971459.09677419
Sep/01/2007,NaN
Oct/01/2007,2867608.64516129
Nov/01/2007,2837268.46666667
Dec/01/2007,2700791.93548387
Jan/01/2008,2680346.87096774
Feb/01/2008,2809803.89655172
Mar/01/2008,2693483.19354839
Apr/01/2008,2789853.63333333
May/01/2008,NaN
Jun/01/2008,2907459.1
Jul/01/2008,NaN
Aug/01/2008,2856513.35483871
Sep/01/2008,2863678.5
Oct/01/2008,2714976.51612903
Nov/01/2008,2651288.46666667
Dec/01/2008,2447376.70967742
Jan/01/2009,2418807.5483871
Feb/01/2009,2548500.32142857
Mar/01/2009,2392618.12903226
Apr/01/2009,2447169.73333333
May/01/2009,2424220.61290323
Jun/01/2009,2522686.36666667
Jul/01/2009,2528738.12903226
Aug/01/2009,2651588.58064516
Sep/01/2009,2662113.1
Oct/01/2009,2562928.93548387
Nov/01/2009,2521290.6
Dec/01/2009,2487571.09677419
Jan/01/2010,2437061.4516129
Feb/01/2010,2649668.78571429
Mar/01/2010,2526422.29032258
Apr/01/2010,2620679.7
May/01/2010,2648837.80645161
Jun/01/2010,2778656.9
Jul/01/2010,2765929.38709677
Aug/01/2010,2836357
Sep/01/2010,2779657.2
Oct/01/2010,2647763.03225806
Nov/01/2010,2653796.03333333
Dec/01/2010,2590750.80645161
Jan/01/2011,2583641
Feb/01/2011,2727186.89285714
Mar/01/2011,2651906.06451613
Apr/01/2011,2678908.9
May/01/2011,2647114.51612903
Jun/01/2011,2797052.2
Jul/01/2011,2814422.70967742
Aug/01/2011,2870559.74193548
Sep/01/2011,2831426.46666667
Oct/01/2011,2718765.41935484
Nov/01/2011,2695747.8
Dec/01/2011,2580051.16129032
Jan/01/2012,2554988.83870968
Feb/01/2012,2699940.48275862
Mar/01/2012,2622523.96774194
Apr/01/2012,2700989.13333333
May/01/2012,2731537.16129032
Jun/01/2012,2787300.33333333
Jul/01/2012,2813521.93548387
Aug/01/2012,2842085.03225806
Sep/01/2012,2735329.93333333
Oct/01/2012,2677280.38709677
Nov/01/2012,2628244.6
Dec/01/2012,2527729.09677419
Jan/01/2013,2596950.70967742
Feb/01/2013,2739001.75
Mar/01/2013,2595948.03225806
Apr/01/2013,2673882.36666667
May/01/2013,2738610.5483871
Jun/01/2013,2805661.9
Jul/01/2013,2802803.48387097
Aug/01/2013,2832463.48387097
Sep/01/2013,2767499.7
Oct/01/2013,2676766.64516129
Nov/01/2013,2654385.8
Dec/01/2013,2518293.5483871
Jan/01/2014,2585446.67741935
Feb/01/2014,2693330.85714286
Mar/01/2014,2598034.48387097
Apr/01/2014,2683510.9
May/01/2014,2754289.90322581
Jun/01/2014,2857036.53333333
Jul/01/2014,2852164.51612903
Aug/01/2014,2897045.41935484
Sep/01/2014,2849638.6
Oct/01/2014,2779117.18535077
Nov/01/2014,2701473.2
Dec/01/2014,2584597.35483871
Jan/01/2015,2491683.48387097
Feb/01/2015,2661149.03571429
Mar/01/2015,2496567.25806452
Apr/01/2015,2601867.83333333
May/01/2015,2604449.5483871
Jun/01/2015,2792413.36666667
Jul/01/2015,2754843
Aug/01/2015,2770677.61290323
Sep/01/2015,2744733.3
Oct/01/2015,2610157.61290323
Nov/01/2015,2545930.4
Dec/01/2015,2449132.96774194
Jan/01/2016,2460858.29032258
Feb/01/2016,2561774.79310345
Mar/01/2016,2458723.83870968
